Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,16.98468906932178,16.740571791161125 
 01/01  02:00:00,16.191173712835359,15.82532284598092 
 01/01  03:00:00,19.322646228578106,19.418287545368249 
 01/01  04:00:00,19.79790084807304,19.823178732278345 
 01/01  05:00:00,19.74171273437503,19.735060517792286 
 01/01  06:00:00,19.7834293353905,19.807905457603405 
 01/01  07:00:00,19.83239173390571,19.897420825257215 
 01/01  08:00:00,19.83457100463167,19.888502215933149 
 01/01  09:00:00,19.777041418043689,19.796535392774787 
 01/01  10:00:00,19.813871737600857,19.87498352423672 
 01/01  11:00:00,17.77331484157378,17.162778206497316 
 01/01  12:00:00,17.516673922323265,17.19972430116932 
 01/01  13:00:00,17.438857694993048,17.248104335217414 
 01/01  14:00:00,17.426225198590875,17.159965956538753 
 01/01  15:00:00,17.305941990971737,16.688100082919385 
 01/01  16:00:00,17.005390147790558,16.17100934802079 
 01/01  17:00:00,19.58700631249981,19.548818650823799 
 01/01  18:00:00,19.809840056309207,19.881534699718978 
 01/01  19:00:00,19.809002173546646,19.86701865662272 
 01/01  20:00:00,19.76285487482278,19.80741802427201 
 01/01  21:00:00,19.81090293806521,19.862142763099173 
 01/01  22:00:00,19.793785535872595,19.8666898518484 
 01/01  23:00:00,19.803182190478798,19.851955261691616 
 01/01  24:00:00,19.776989155356334,19.803673401598297 
 01/02  01:00:00,17.15140381209892,16.894680399222236 
 01/02  02:00:00,16.607646195822345,16.217624010196045 
 01/02  03:00:00,19.52154072511174,19.549196065424345 
 01/02  04:00:00,19.831816983899878,19.884627687027704 
 01/02  05:00:00,19.81111370128054,19.870624353092766 
 01/02  06:00:00,19.80997988196407,19.877741634011096 
 01/02  07:00:00,19.822219998276787,19.85625689265052 
 01/02  08:00:00,19.814045698171129,19.862334870970025 
 01/02  09:00:00,19.763086012816989,19.802820590661896 
 01/02  10:00:00,19.79437890712902,19.865037248762869 
 01/02  11:00:00,17.905919254809967,17.117500437682439 
 01/02  12:00:00,17.510609003685056,16.503251210991104 
