Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,17.27243150526688,17.00463723610077 
 01/01  02:00:00,16.48812900719275,16.128979330149698 
 01/01  03:00:00,19.3206591630044,19.42469575069301 
 01/01  04:00:00,19.809671210922298,19.85045313711406 
 01/01  05:00:00,19.711130566580999,19.7099078518187 
 01/01  06:00:00,19.750285620696908,19.76825310572349 
 01/01  07:00:00,19.798950902596795,19.846021973584557 
 01/01  08:00:00,19.785992359941888,19.84474539237972 
 01/01  09:00:00,19.7497072883002,19.772526928226747 
 01/01  10:00:00,19.763703034901846,19.832219747722399 
 01/01  11:00:00,18.041264055056666,17.453471921592596 
 01/01  12:00:00,17.75049611812264,17.524084945987015 
 01/01  13:00:00,17.680068075165879,17.583347082037194 
 01/01  14:00:00,17.673078451256889,17.49200193580477 
 01/01  15:00:00,17.575803046745429,16.991727861566866 
 01/01  16:00:00,17.2799053497801,16.462171754056173 
 01/01  17:00:00,19.577960650301784,19.537900702559484 
 01/01  18:00:00,19.77052436278072,19.81570284876508 
 01/01  19:00:00,19.763749617508176,19.809478020232779 
 01/01  20:00:00,19.73572751710055,19.756825663001004 
 01/01  21:00:00,19.773543123381964,19.82571629657924 
 01/01  22:00:00,19.766606179430519,19.81630281950564 
 01/01  23:00:00,19.76288197769584,19.815317337577448 
 01/01  24:00:00,19.75692274250799,19.758596306772519 
 01/02  01:00:00,17.40946538893045,17.121591699105019 
 01/02  02:00:00,16.846733510887725,16.458498993325823 
 01/02  03:00:00,19.495463585801617,19.527291506306289 
 01/02  04:00:00,19.804849220108186,19.847876371239125 
 01/02  05:00:00,19.793748032363955,19.828989467447614 
 01/02  06:00:00,19.788856975783248,19.82742429878519 
 01/02  07:00:00,19.790484580532217,19.839322614200279 
 01/02  08:00:00,19.771431627540446,19.818310340697456 
 01/02  09:00:00,19.736093322757584,19.762948916570659 
 01/02  10:00:00,19.77317236387733,19.808316174373858 
 01/02  11:00:00,18.152864372238509,17.36608109345626 
 01/02  12:00:00,17.742774869714375,16.76683603343102 
 01/02  13:00:00,17.738037971047186,16.903732954992173 
 01/02  14:00:00,17.715966569487685,17.066623767325859 
 01/02  15:00:00,17.589272117299357,16.86366540219324 
 01/02  16:00:00,17.371969781038943,16.430192712758683 
 01/02  17:00:00,19.58851694326954,19.542137519667827 
 01/02  18:00:00,19.77128035071898,19.83359886248897 
 01/02  19:00:00,19.770570301117848,19.817685179959314 
 01/02  20:00:00,19.737322824454865,19.75534094218542 
 01/02  21:00:00,19.76110291958709,19.824814475346597 
 01/02  22:00:00,19.765911714413158,19.81308356163902 
 01/02  23:00:00,19.76524352106377,19.80966234881313 
 01/02  24:00:00,19.7441441504539,19.7754400065147 
 01/03  01:00:00,17.35501482298191,17.05143912289747 
 01/03  02:00:00,16.786991945827887,16.351853591511593 
 01/03  03:00:00,19.483157415944647,19.51338311544982 
 01/03  04:00:00,19.794614524629109,19.850791039089608 
 01/03  05:00:00,19.775769525631327,19.843776007477567 
 01/03  06:00:00,19.797870201076614,19.83569790626393 
