Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,15.39492505854818,15.17448707903947 
 01/01  02:00:00,14.694327630609184,14.338139606689346 
 01/01  03:00:00,17.52686597440652,17.61567550304425 
 01/01  04:00:00,17.967208343537807,18.021783611042119 
 01/01  05:00:00,17.866598382329316,17.863659646093966 
 01/01  06:00:00,17.917421930776297,17.92474451212315 
 01/01  07:00:00,17.94534502353368,18.004209346644843 
 01/01  08:00:00,17.95114188282913,18.009198168315188 
 01/01  09:00:00,17.899398507261958,17.923750212042167 
 01/01  10:00:00,17.933289591954535,17.998508520705277 
 01/01  11:00:00,15.84463215499095,15.56577238220616 
 01/01  12:00:00,15.664542344079596,15.687846831902946 
 01/01  13:00:00,15.567998450670597,15.753247108986824 
 01/01  14:00:00,15.569916035630677,15.675446686963053 
 01/01  15:00:00,15.445835609123293,15.205651055749886 
 01/01  16:00:00,15.14353073561606,14.720647610957096 
 01/01  17:00:00,17.702072338078027,17.7081705412989 
 01/01  18:00:00,17.92904437716581,17.97994414217168 
 01/01  19:00:00,17.939861315541266,17.96653533043146 
 01/01  20:00:00,17.895269716082575,17.9042986785946 
 01/01  21:00:00,17.93245602589964,17.96397128206116 
 01/01  22:00:00,17.93195789727801,17.949887285366186 
 01/01  23:00:00,17.92110688559621,17.965264640012813 
 01/01  24:00:00,17.903006860498168,17.916375181163955 
 01/02  01:00:00,15.556534223083972,15.311997772550197 
 01/02  02:00:00,15.110975264940656,14.719730355381876 
 01/02  03:00:00,17.684457766624225,17.701788103347135 
 01/02  04:00:00,17.928501986582604,17.970809063382164 
 01/02  05:00:00,17.934648736974404,17.987420322816115 
 01/02  06:00:00,17.9292377578302,17.9863055173321 
 01/02  07:00:00,17.932366959635226,17.99651874123648 
 01/02  08:00:00,17.91687870551874,17.978138710238374 
 01/02  09:00:00,17.886207915958175,17.9147273456456 
 01/02  10:00:00,17.935609124086335,17.98293679997092 
 01/02  11:00:00,15.983633344128757,15.525457411515067 
 01/02  12:00:00,15.65436450993456,14.984869266841685 
 01/02  13:00:00,15.638152715081877,15.133109297362154 
 01/02  14:00:00,15.616536262112785,15.296871939401037 
 01/02  15:00:00,15.48636859381314,15.107063290857699 
 01/02  16:00:00,15.26805861165865,14.690755195371509 
 01/02  17:00:00,17.720572517023294,17.713117363161098 
 01/02  18:00:00,17.91925211661613,17.97958922706426 
 01/02  19:00:00,17.914432266660798,17.954877622066947 
 01/02  20:00:00,17.897442123394297,17.913081361321767 
 01/02  21:00:00,17.92220771046229,17.982838887922939 
 01/02  22:00:00,17.925979203062718,17.97264907856301 
 01/02  23:00:00,17.926908347731819,17.96505405988744 
 01/02  24:00:00,17.889978531585606,17.912034953450026 
 01/03  01:00:00,15.482440324166966,15.214771738475826 
 01/03  02:00:00,15.029619575814437,14.593379056079956 
 01/03  03:00:00,17.675292946192849,17.68652907700902 
 01/03  04:00:00,17.951623922377864,17.997332104229913 
 01/03  05:00:00,17.931826479020296,17.994519074331998 
 01/03  06:00:00,17.932311175400874,17.982682229226456 
 01/03  07:00:00,17.951178455993796,18.000360045627028 
 01/03  08:00:00,17.94529920268655,17.980269263747858 
 01/03  09:00:00,17.887864665952287,17.923701803045469 
 01/03  10:00:00,17.93808757512094,17.971022127330579 
 01/03  11:00:00,15.993507719915759,15.596223283838466 
 01/03  12:00:00,15.641827191291228,15.000632819230042 
 01/03  13:00:00,15.473506866855722,14.759670100854308 
 01/03  14:00:00,15.433840387948333,14.674335133689349 
 01/03  15:00:00,15.378090608528222,14.601157522754841 
 01/03  16:00:00,15.28985886506442,14.512074686319844 
 01/03  17:00:00,17.735521985442639,17.717952403851716 
 01/03  18:00:00,17.925508699427213,17.983268978235328 
 01/03  19:00:00,17.91054088718355,17.96037869492089 
 01/03  20:00:00,17.887845871153208,17.911899380176054 
 01/03  21:00:00,17.920742213874449,17.973465637256337 
 01/03  22:00:00,17.92045917929418,17.97079523633466 
 01/03  23:00:00,17.927735776197488,17.971391204496528 
 01/03  24:00:00,17.89487488561611,17.917178568767598 
 01/04  01:00:00,15.459047936114854,15.163453558930306 
 01/04  02:00:00,14.893920547796505,14.445417338586936 
 01/04  03:00:00,17.651493677781948,17.674986841546816 
 01/04  04:00:00,17.954697528977755,17.993194993684658 
 01/04  05:00:00,17.95215246124014,18.01038468513594 
 01/04  06:00:00,17.959859063102038,18.00047270216668 
 01/04  07:00:00,17.946205297667889,17.987019977814997 
 01/04  08:00:00,17.929740464248277,18.013476331868547 
 01/04  09:00:00,17.937929369400487,17.998283910436049 
 01/04  10:00:00,17.939427725078219,17.993787430286525 
 01/04  11:00:00,15.597995252873807,15.235666706412119 
 01/04  12:00:00,15.330665612902175,14.673176439724433 
 01/04  13:00:00,15.231882719994001,14.520002875767425 
 01/04  14:00:00,15.146910611345211,14.373369309533038 
 01/04  15:00:00,15.075644149746593,14.289381300685016 
 01/04  16:00:00,14.879028396627176,14.103940298654669 
 01/04  17:00:00,17.67682291415349,17.657936556833709 
 01/04  18:00:00,17.948050818582464,18.00067584074366 
 01/04  19:00:00,17.91778032414502,17.973650476835617 
 01/04  20:00:00,17.882578169511495,17.91698636462902 
 01/04  21:00:00,17.94897440219448,17.9733055636759 
 01/04  22:00:00,17.927188135357999,17.98764435172376 
 01/04  23:00:00,17.94581554484381,17.995146202747564 
 01/04  24:00:00,17.90408692997132,17.93948852983152 
 01/05  01:00:00,14.714857988895018,14.424631745720135 
 01/05  02:00:00,14.180745605788309,13.615844133421645 
 01/05  03:00:00,17.42170271714206,17.47167915995569 
 01/05  04:00:00,17.912533465329497,17.935644952373644 
 01/05  05:00:00,17.95466652659949,18.006317892562046 
 01/05  06:00:00,17.941453278548324,18.016316655010514 
 01/05  07:00:00,17.936050965917,18.00561146508474 
 01/05  08:00:00,17.938595433569014,17.981652355594016 
 01/05  09:00:00,17.893258541260388,17.919742047993336 
 01/05  10:00:00,17.917233918498828,17.96246438632931 
 01/05  11:00:00,16.036335046683413,15.550058291428382 
 01/05  12:00:00,15.651594400909918,14.977920921501513 
 01/05  13:00:00,15.445682895394598,14.654772671697483 
 01/05  14:00:00,15.385821059126628,14.555038405396378 
 01/05  15:00:00,15.274028962601007,14.432506545031881 
 01/05  16:00:00,15.18346223346479,14.354495980026418 
 01/05  17:00:00,17.7282492901478,17.70133865023292 
 01/05  18:00:00,17.91635419309541,17.98149936532632 
 01/05  19:00:00,17.920605767621855,17.95982236906813 
 01/05  20:00:00,17.917301493402044,17.96283929660469 
 01/05  21:00:00,17.918447531770455,17.975897838913065 
 01/05  22:00:00,17.920790036933214,17.968660569369406 
 01/05  23:00:00,17.920698047358888,17.94951173432016 
 01/05  24:00:00,17.89884430425891,17.919932185043053 
 01/06  01:00:00,15.63576444631951,15.29983231940431 
 01/06  02:00:00,15.120958194428681,14.638235199053148 
 01/06  03:00:00,14.819266327746736,14.263497475110713 
 01/06  04:00:00,14.710345154042005,14.110221740871179 
 01/06  05:00:00,16.032757102100939,15.719666330369556 
 01/06  06:00:00,17.911955299258318,17.9345876234568 
 01/06  07:00:00,17.95384300427828,18.0009681335492 
 01/06  08:00:00,16.85843490122986,16.70668002839249 
 01/06  09:00:00,15.450227914293308,14.952240900721933 
 01/06  10:00:00,15.218775732868977,14.600073154753983 
 01/06  11:00:00,15.244323073276299,14.552084404221688 
 01/06  12:00:00,15.255491635160162,14.504180542892712 
 01/06  13:00:00,15.32275520272816,14.528120668870243 
 01/06  14:00:00,15.347225641206418,14.533922123176346 
 01/06  15:00:00,15.215774416188566,14.417334205365254 
 01/06  16:00:00,15.086647976350016,14.323090831946552 
 01/06  17:00:00,15.333683768832377,14.546456494431425 
 01/06  18:00:00,16.496293738813415,16.08338224247818 
 01/06  19:00:00,17.895867726208459,17.93875528128242 
 01/06  20:00:00,17.932964031545134,17.972318308479215 
 01/06  21:00:00,17.0927074747266,16.91583540890667 
 01/06  22:00:00,15.73387798932488,15.212934596203248 
