Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,15.425479273062848,15.176068503626766 
 01/01  02:00:00,14.714379998870074,14.254964570019478 
 01/01  03:00:00,17.95770888661201,18.034816004120989 
 01/01  04:00:00,18.43276925003112,18.511916892383107 
 01/01  05:00:00,18.327438534116717,18.325660917982938 
 01/01  06:00:00,18.37941942933928,18.41523678457902 
 01/01  07:00:00,18.415069961977218,18.5044273756017 
 01/01  08:00:00,18.42545044210911,18.491405808432867 
 01/01  09:00:00,18.42030959492179,18.485500494409956 
 01/01  10:00:00,18.396081450190445,18.458200782560128 
 01/01  11:00:00,16.14510834821088,15.535499213142046 
 01/01  12:00:00,16.05238591036726,15.59879409055858 
 01/01  13:00:00,15.939561144413604,15.630076081302758 
 01/01  14:00:00,15.93991306278392,15.541175151660699 
 01/01  15:00:00,15.817124976058223,15.07715309547206 
 01/01  16:00:00,15.49017486853797,14.552420414699306 
 01/01  17:00:00,18.182836432892655,18.125895273689243 
 01/01  18:00:00,18.400140839305114,18.465316648951857 
 01/01  19:00:00,18.39005219955976,18.449075733433678 
 01/01  20:00:00,18.359306980750163,18.380902594564195 
 01/01  21:00:00,18.38184364375419,18.460750976906817 
 01/01  22:00:00,18.39675370353894,18.45908157494307 
 01/01  23:00:00,18.385464234107859,18.443359366514188 
 01/01  24:00:00,18.37575647569424,18.392500574691558 
 01/02  01:00:00,15.645112619763605,15.354837149852005 
 01/02  02:00:00,15.205024649684772,14.71260741270747 
 01/02  03:00:00,18.137041088581637,18.137405131918749 
 01/02  04:00:00,18.408772710871405,18.46109916696019 
 01/02  05:00:00,18.405041251765924,18.474326478653283 
 01/02  06:00:00,18.394665271275774,18.458361214105307 
 01/02  07:00:00,18.408674589314225,18.455091958112197 
 01/02  08:00:00,18.39190628167625,18.452237453453255 
 01/02  09:00:00,18.353139348660947,18.39921593172432 
 01/02  10:00:00,18.400986621231099,18.45046380886545 
 01/02  11:00:00,16.335847203457435,15.530669028974849 
 01/02  12:00:00,16.036260928777936,14.9464081421272 
 01/02  13:00:00,16.02035606525822,15.070430357227597 
 01/02  14:00:00,15.992539307807217,15.20759589261938 
 01/02  15:00:00,15.85066359706607,15.00650393582028 
 01/02  16:00:00,15.614859583635358,14.584386024514263 
 01/02  17:00:00,18.191411741412304,18.138609100305464 
 01/02  18:00:00,18.39804540991933,18.462509069689703 
 01/02  19:00:00,18.397435901176406,18.46046301112674 
 01/02  20:00:00,18.351379893546644,18.385271266182039 
 01/02  21:00:00,18.39354602191258,18.444858279562795 
 01/02  22:00:00,18.387120103660068,18.444839153166627 
 01/02  23:00:00,18.380188088379886,18.459656616906974 
 01/02  24:00:00,18.370649886823779,18.395400857365759 
