Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,17.116485626994554,16.81165394903737 
 01/01  02:00:00,16.277580780886525,15.804049552588037 
 01/01  03:00:00,19.715625191114229,19.79976585798599 
 01/01  04:00:00,20.218503848680215,20.261971456214277 
 01/01  05:00:00,20.163459934313737,20.165392243050819 
 01/01  06:00:00,20.22108492118315,20.237350847458865 
 01/01  07:00:00,20.27861671384536,20.344045510195288 
 01/01  08:00:00,20.2651214397563,20.342139154951263 
 01/01  09:00:00,20.211922754821033,20.24645776130709 
 01/01  10:00:00,20.249854598355456,20.308011964245034 
 01/01  11:00:00,17.97469365785772,17.198876011762445 
 01/01  12:00:00,17.71171557167662,17.16771049322388 
 01/01  13:00:00,17.61252610997472,17.181102198408575 
 01/01  14:00:00,17.6017519336714,17.076191021494226 
 01/01  15:00:00,17.466355459788404,16.59373659441742 
 01/01  16:00:00,17.141375471623353,16.04640295671006 
 01/01  17:00:00,20.00298462562464,19.94395629289955 
 01/01  18:00:00,20.247779139958703,20.31960024784833 
 01/01  19:00:00,20.23650496798227,20.311906674653643 
 01/01  20:00:00,20.19716317737177,20.225512109295395 
 01/01  21:00:00,20.241817205018969,20.308920370246569 
 01/01  22:00:00,20.230698697974696,20.314162560742419 
 01/01  23:00:00,20.23089696449552,20.29186597019364 
 01/01  24:00:00,20.191648421081714,20.22735188598555 
 01/02  01:00:00,17.283385241048344,16.96121347718516 
 01/02  02:00:00,16.726386675964134,16.22599943362409 
 01/02  03:00:00,19.923383531532836,19.944552851349415 
 01/02  04:00:00,20.277319525149595,20.335195088465964 
 01/02  05:00:00,20.261404320760435,20.321056127121694 
 01/02  06:00:00,20.25092740455887,20.29588274236239 
 01/02  07:00:00,20.25031572046412,20.31716550156196 
 01/02  08:00:00,20.22537368748462,20.308183428056937 
 01/02  09:00:00,20.20460136958058,20.24725235669907 
 01/02  10:00:00,20.236586438584049,20.30098100059903 
 01/02  11:00:00,18.123138434613485,17.171122340254855 
 01/02  12:00:00,17.709805143676627,16.498304820381944 
 01/02  13:00:00,17.70156371781233,16.61389613305352 
 01/02  14:00:00,17.65506248386557,16.73202134909628 
 01/02  15:00:00,17.511764443494987,16.521634110565466 
 01/02  16:00:00,17.277642265108378,16.082521658492099 
 01/02  17:00:00,20.017669425717604,19.939888735448819 
 01/02  18:00:00,20.257355571969,20.32712044259813 
 01/02  19:00:00,20.24479616037014,20.31634215934828 
 01/02  20:00:00,20.203403520606874,20.229752687158439 
 01/02  21:00:00,20.244659835274335,20.312159434463426 
 01/02  22:00:00,20.23651622616365,20.28843302221755 
 01/02  23:00:00,20.23305872161321,20.31235031277769 
 01/02  24:00:00,20.216286886859117,20.248229345262879 
 01/03  01:00:00,17.231838022098509,16.87406677216518 
 01/03  02:00:00,16.607949653021288,16.04702436569336 
 01/03  03:00:00,19.879073081695969,19.9149837703635 
 01/03  04:00:00,20.289439531953808,20.32939376791325 
 01/03  05:00:00,20.277907410140644,20.29845285628776 
 01/03  06:00:00,20.267832684598678,20.322232520252166 
 01/03  07:00:00,20.248237256458994,20.322619239242557 
 01/03  08:00:00,20.24470066672395,20.351394129686125 
 01/03  09:00:00,20.21894001859952,20.23980881042791 
 01/03  10:00:00,20.240721217542924,20.308898534614938 
 01/03  11:00:00,17.73478779581786,17.264359899315968 
 01/03  12:00:00,17.31913540005777,16.63099367660532 
 01/03  13:00:00,17.090527562787199,16.272282298860774 
 01/03  14:00:00,17.02504546157281,16.157714003202157 
 01/03  15:00:00,16.944083802940946,16.058508275902413 
 01/03  16:00:00,16.833305268193806,15.942568624403208 
 01/03  17:00:00,19.991022464858746,19.961252752923178 
 01/03  18:00:00,20.243573307673857,20.30693165525979 
 01/03  19:00:00,20.22909636498624,20.290577037030276 
 01/03  20:00:00,20.228749322258403,20.293558559752918 
 01/03  21:00:00,20.232589572351658,20.289582123698489 
 01/03  22:00:00,20.225116065594457,20.301809650271509 
 01/03  23:00:00,20.234981541720548,20.305040163511366 
 01/03  24:00:00,20.211818093045247,20.229129506690627 
 01/04  01:00:00,17.182293949677207,16.816413889697978 
 01/04  02:00:00,16.440090695920256,15.892208270595667 
 01/04  03:00:00,19.815321874060424,19.86713837502007 
 01/04  04:00:00,20.27448320306361,20.346975678084378 
 01/04  05:00:00,20.265810306481428,20.323818130836118 
 01/04  06:00:00,20.259959665977115,20.324488566991137 
 01/04  07:00:00,20.253691477957234,20.31911168374753 
 01/04  08:00:00,20.276247422040194,20.34195936019908 
 01/04  09:00:00,20.272210770525726,20.323520808477914 
 01/04  10:00:00,20.259635946868408,20.308600803848966 
 01/04  11:00:00,17.30328571139642,16.87064478120118 
 01/04  12:00:00,16.92813840990585,16.179694328971459 
 01/04  13:00:00,16.77629596672041,15.975325036665847 
 01/04  14:00:00,16.642361693928753,15.772459624300767 
 01/04  15:00:00,16.543331292221013,15.636617534083861 
 01/04  16:00:00,16.308737930923316,15.405577878052517 
 01/04  17:00:00,19.889898014916825,19.820191152994746 
 01/04  18:00:00,20.25379018224328,20.34194788651602 
 01/04  19:00:00,20.251936517897574,20.297618968889233 
 01/04  20:00:00,20.205011560206257,20.239212112935577 
 01/04  21:00:00,20.26755348665153,20.32635009019686 
 01/04  22:00:00,20.265204007513228,20.337062870078797 
 01/04  23:00:00,20.259367127379094,20.328499058090747 
 01/04  24:00:00,20.22356860095114,20.235859413168705 
 01/05  01:00:00,16.40004452096931,16.01772442384468 
 01/05  02:00:00,15.67235268449561,14.999169009450324 
 01/05  03:00:00,19.584301808542539,19.641843864469597 
 01/05  04:00:00,20.1868689195223,20.26230311601973 
 01/05  05:00:00,20.29013924934808,20.363092934808515 
 01/05  06:00:00,20.250862355945004,20.33369478401454 
 01/05  07:00:00,20.275836378245434,20.344769278397178 
 01/05  08:00:00,20.24855799422088,20.30865825949598 
 01/05  09:00:00,20.209094211974418,20.242732562543865 
 01/05  10:00:00,20.25152627477777,20.315344982638913 
 01/05  11:00:00,17.785274364260326,17.221917821899497 
 01/05  12:00:00,17.277276085776174,16.51968775977857 
 01/05  13:00:00,17.031004930497156,16.143513378775354 
 01/05  14:00:00,16.9504814774252,16.016931492056267 
 01/05  15:00:00,16.807196664331575,15.860967725229216 
 01/05  16:00:00,16.68756201794898,15.749143795935396 
 01/05  17:00:00,19.97742802065862,19.935099030952828 
 01/05  18:00:00,20.254085904082488,20.333762673596078 
 01/05  19:00:00,20.224818098072157,20.295549071799049 
 01/05  20:00:00,20.221314065352027,20.31018477253909 
 01/05  21:00:00,20.231691906726718,20.31018208793185 
 01/05  22:00:00,20.2218004122821,20.293918659387584 
 01/05  23:00:00,20.234719548960073,20.287350375937355 
 01/05  24:00:00,20.20966869893662,20.240785853427157 
 01/06  01:00:00,17.365756871840526,16.969576355843758 
 01/06  02:00:00,16.67488295859858,16.109081154925364 
 01/06  03:00:00,16.32169158904446,15.672951924197785 
 01/06  04:00:00,16.19141388024232,15.48068627224556 
 01/06  05:00:00,17.82988926993562,17.462685321615525 
 01/06  06:00:00,20.093114122479237,20.09578659980091 
 01/06  07:00:00,20.26051494555363,20.33832411023801 
 01/06  08:00:00,18.901726546119698,18.722498816894924 
 01/06  09:00:00,17.023344542615129,16.451024360139244 
 01/06  10:00:00,16.73918975867373,16.050189069073278 
 01/06  11:00:00,16.734284770342609,15.97614082153459 
 01/06  12:00:00,16.72487524981486,15.902129265397619 
 01/06  13:00:00,16.783441676520768,15.908409465361804 
 01/06  14:00:00,16.800457890171864,15.901117338750432 
 01/06  15:00:00,16.64410952162775,15.75891795714708 
 01/06  16:00:00,16.482247251328866,15.630856564769517 
 01/06  17:00:00,16.911674657214158,15.805847090479336 
 01/06  18:00:00,18.408448068898644,17.788921103059637 
 01/06  19:00:00,20.20810217821078,20.2462165049308 
 01/06  20:00:00,20.249906956574216,20.32168604699204 
 01/06  21:00:00,19.319605211068596,18.933087849535626 
 01/06  22:00:00,17.73207203230644,16.676648149207176 
 01/06  23:00:00,17.113126841559934,16.091261322597086 
 01/06  24:00:00,16.468448855523545,15.73782469871216 
 01/07  01:00:00,16.25175893159838,15.50244476800003 
 01/07  02:00:00,16.139701238805139,15.358562385337337 
 01/07  03:00:00,19.78467627970074,19.79377988835246 
 01/07  04:00:00,20.21751773801217,20.25550350391994 
 01/07  05:00:00,20.279987965416419,20.34908088448197 
 01/07  06:00:00,20.279559894495756,20.335462304644289 
 01/07  07:00:00,20.28474334292816,20.322438371608326 
 01/07  08:00:00,20.23815189500479,20.31063039324875 
 01/07  09:00:00,20.211392451244345,20.2423734102766 
 01/07  10:00:00,20.23062322101883,20.303491960001169 
 01/07  11:00:00,18.234218225646566,17.92216187912895 
 01/07  12:00:00,17.83512409360725,17.783407687672708 
 01/07  13:00:00,17.78936428545595,17.731303585385484 
 01/07  14:00:00,17.81896739383668,17.5862113223359 
 01/07  15:00:00,17.796701348623338,17.340441379091798 
 01/07  16:00:00,17.545004610220184,16.778013405359347 
 01/07  17:00:00,20.047340238266459,20.00763391531921 
 01/07  18:00:00,20.238229539678899,20.295464599581327 
 01/07  19:00:00,20.22166643090165,20.302247861348318 
 01/07  20:00:00,20.203567225541783,20.232229615137198 
 01/07  21:00:00,20.24290045582191,20.29280958224128 
 01/07  22:00:00,20.231175599994104,20.287743148023738 
 01/07  23:00:00,20.24523405000285,20.317447855427937 
 01/07  24:00:00,20.209033354929667,20.228503465787747 
 01/08  01:00:00,16.86563940556012,16.72449479709845 
 01/08  02:00:00,16.06083223684302,15.782852601935059 
 01/08  03:00:00,19.691686942892134,19.837450282355719 
 01/08  04:00:00,20.20566759344222,20.248844805242649 
 01/08  05:00:00,20.2578254726526,20.3402249345733 
 01/08  06:00:00,20.270906368153946,20.327898869939938 
 01/08  07:00:00,20.286867214153504,20.32531895693075 
 01/08  08:00:00,20.25694393887704,20.35650322138779 
 01/08  09:00:00,20.199243842441235,20.23917661097536 
 01/08  10:00:00,20.248425209477067,20.339452522676717 
 01/08  11:00:00,17.812144821222753,16.908740861310585 
 01/08  12:00:00,17.456831053239858,16.243810755279424 
 01/08  13:00:00,17.326071974489609,15.970095374980057 
 01/08  14:00:00,17.42608548583288,15.94666837042691 
 01/08  15:00:00,17.426546187258514,15.874740192664202 
 01/08  16:00:00,17.2510295530143,15.68520927383 
 01/08  17:00:00,20.0188981528212,19.890816013125627 
 01/08  18:00:00,20.240648128876033,20.311318317158404 
 01/08  19:00:00,20.235637937765817,20.32103195687576 
 01/08  20:00:00,20.19524022022795,20.223177173477408 
 01/08  21:00:00,20.235900465666455,20.309928210949523 
 01/08  22:00:00,20.238028795273693,20.31241094776632 
 01/08  23:00:00,20.22779260382407,20.305780390365528 
 01/08  24:00:00,20.246531355863369,20.295503867786278 
 01/09  01:00:00,17.296627562761864,16.86374248048098 
 01/09  02:00:00,16.64839065342934,16.01410002407947 
 01/09  03:00:00,19.883736203988357,19.896238075572858 
 01/09  04:00:00,20.268143834363927,20.343722556967895 
 01/09  05:00:00,20.264846266756046,20.305108204969757 
 01/09  06:00:00,20.272192748281918,20.31541295303844 
 01/09  07:00:00,20.247497167665754,20.332479752191035 
 01/09  08:00:00,20.259134567904107,20.306001910979448 
 01/09  09:00:00,20.212991282756499,20.231633917578418 
 01/09  10:00:00,20.243204215416239,20.3026127484195 
 01/09  11:00:00,17.855773722782783,17.3744276193066 
 01/09  12:00:00,17.4168658077878,16.684294156930237 
 01/09  13:00:00,17.220755871274038,16.42043248393859 
 01/09  14:00:00,17.147823054946004,16.289081023611077 
