Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,15.95559531800054,15.650264226317859 
 01/01  02:00:00,15.326305267149442,14.948213947437227 
 01/01  03:00:00,17.427495577821863,17.505044149310078 
 01/01  04:00:00,17.751988258575204,17.792265279761869 
 01/01  05:00:00,17.67190340051598,17.67121432605624 
 01/01  06:00:00,17.70758454211571,17.72197959195508 
 01/01  07:00:00,17.73348764619506,17.78187884227919 
 01/01  08:00:00,17.716002658145827,17.761595556955059 
 01/01  09:00:00,17.696808103480536,17.72313309622707 
 01/01  10:00:00,17.7170623072178,17.752917546801507 
 01/01  11:00:00,16.48669073686129,16.12031052926629 
 01/01  12:00:00,16.229222174663194,16.32947754630125 
 01/01  13:00:00,16.173758318400318,16.43280522005375 
 01/01  14:00:00,16.180258438355666,16.376547157280578 
 01/01  15:00:00,16.0947377608646,15.907842514568145 
 01/01  16:00:00,15.838918882115565,15.359037263020625 
 01/01  17:00:00,17.569173254706617,17.57381867263277 
 01/01  18:00:00,17.708729745821218,17.7478608969242 
 01/01  19:00:00,17.697926246452199,17.74113288037129 
 01/01  20:00:00,17.688202837437765,17.70577447249292 
 01/01  21:00:00,17.71300532788091,17.745969826767906 
 01/01  22:00:00,17.713764019410687,17.752797223881268 
 01/01  23:00:00,17.71193990220467,17.742270437910816 
 01/01  24:00:00,17.694230944565363,17.70319793105264 
 01/02  01:00:00,16.039235004069107,15.720238409655101 
 01/02  02:00:00,15.58615457949484,15.163432816942129 
 01/02  03:00:00,17.518482771532299,17.543356541725303 
 01/02  04:00:00,17.72671260969491,17.773024499101287 
 01/02  05:00:00,17.724100933039556,17.757646035424217 
 01/02  06:00:00,17.718604848172256,17.751318205777815 
 01/02  07:00:00,17.724094880435673,17.76226029482472 
 01/02  08:00:00,17.713591214013229,17.756339269333496 
 01/02  09:00:00,17.6837756243455,17.704658435920935 
 01/02  10:00:00,17.71105225631532,17.742425680383208 
 01/02  11:00:00,16.537359962233258,15.99827808227581 
 01/02  12:00:00,16.210562659526454,15.549644986179207 
 01/02  13:00:00,16.208729203226569,15.69298571627294 
 01/02  14:00:00,16.202386571977919,15.907364131925903 
 01/02  15:00:00,16.10645563535975,15.736145029555484 
 01/02  16:00:00,15.916257478531929,15.302173398657074 
 01/02  17:00:00,17.600675769596003,17.603086533889205 
 01/02  18:00:00,17.712127353566225,17.752352332313245 
 01/02  19:00:00,17.70359513482648,17.74141632711936 
 01/02  20:00:00,17.68446956780591,17.69840448556743 
 01/02  21:00:00,17.714791046380065,17.737975737802338 
 01/02  22:00:00,17.70375429166714,17.739185801863365 
 01/02  23:00:00,17.71270047533954,17.744241599151147 
 01/02  24:00:00,17.692685055540847,17.714655482387405 
 01/03  01:00:00,16.015648721841115,15.652016788166068 
 01/03  02:00:00,15.553815083890477,15.072057701571414 
 01/03  03:00:00,17.513523176712515,17.540858861423588 
 01/03  04:00:00,17.735772822683964,17.785543984705954 
 01/03  05:00:00,17.726149737974084,17.769851251858513 
 01/03  06:00:00,17.726484912401504,17.774499996671446 
 01/03  07:00:00,17.733301415761777,17.76155682071575 
 01/03  08:00:00,17.728071498994227,17.76080378873315 
 01/03  09:00:00,17.690608652584129,17.71503066535388 
 01/03  10:00:00,17.713018268058176,17.751540361405 
 01/03  11:00:00,16.47449016284341,15.979160524226666 
 01/03  12:00:00,16.087758691889648,15.457797771006746 
 01/03  13:00:00,15.963453013350197,15.178715236436578 
 01/03  14:00:00,15.921598953123173,15.073126163114008 
 01/03  15:00:00,15.858508668737342,14.980819131441664 
 01/03  16:00:00,15.774319724777375,14.887354041208729 
 01/03  17:00:00,17.58127813907482,17.548923443808947 
 01/03  18:00:00,17.70418647535241,17.76348209547229 
 01/03  19:00:00,17.698551347191875,17.738384156022368 
 01/03  20:00:00,17.685929187815519,17.69333651002981 
 01/03  21:00:00,17.709147349099518,17.7446722038584 
 01/03  22:00:00,17.709873019919713,17.75967253580084 
 01/03  23:00:00,17.713477873571585,17.736970762105817 
 01/03  24:00:00,17.69678687669139,17.71728118869799 
 01/04  01:00:00,15.990637632308517,15.584130300423223 
 01/04  02:00:00,15.465458119951578,14.947535411281395 
 01/04  03:00:00,17.496986484134149,17.512093531278248 
 01/04  04:00:00,17.72697242925183,17.781932217161079 
 01/04  05:00:00,17.71708002117409,17.755729880079337 
 01/04  06:00:00,17.72966405348601,17.765604749245193 
 01/04  07:00:00,17.731827617501087,17.780730219931287 
 01/04  08:00:00,17.732716407318184,17.77671871921322 
 01/04  09:00:00,17.69628339622301,17.715379844295837 
 01/04  10:00:00,17.70970279151359,17.760394846812397 
 01/04  11:00:00,16.242937851597639,15.763303417842819 
 01/04  12:00:00,15.908027830454892,15.247684947306717 
 01/04  13:00:00,15.851674208076919,15.050900518427295 
 01/04  14:00:00,15.775905874025437,14.906829262241765 
 01/04  15:00:00,15.704362327860168,14.785459011973235 
 01/04  16:00:00,15.553727500590267,14.628837492636763 
